5529732642,5543414614,Maria,Mendez,234,27,F,Unmarried,Young Singles,544,,,111,Least Engaged
5531493803,5545095856,Rene,Howell,341,20,M,Unmarried,Young Singles,422,,,112,Least Engaged
5531361374,5544968561,Jerome,Grushkin,114,54,M,Married,Mature,153,,,113,Least Engaged
5533187307,5546714362,Pat,Philpott,315,19,M,Married,Young Couple,313,,,114,Enthusiasts
5527644144,5541421122,Ronald,Thompson,313,25,M,Married,Young Couple,355,,,115,Enthusiasts
5538938993,5552291249,Julie,Schnell,353,23,F,Married,Mom & Baby,111,,,121,Least Engaged
5535860610,5549285975,Ginger,Benwell,513,36,F,Married,Mature,313,,,122,Least Engaged
5539457215,5553055106,Janna,Young,515,23,F,Unmarried,Young Singles,155,,,123,Least Engaged
5537237475,5550635063,Leslie,Sofarelli,455,28,F,Unmarried,Young Singles,255,,,124,Enthusiasts
5533208677,5546734324,Joann,Carelli,555,45,F,Married,Mature,531,,,125,Enthusiasts
5538079287,5551456922,Robert,Bohls,242,23,M,Unmarried,Young Singles,413,,,131,Least Engaged
5539471960,5553068615,Shirley,Johnson,255,40,F,Married,Mature,455,,,132,Least Engaged
5529301455,5543000278,Marvin,Arotsky,515,28,M,Unmarried,Young Singles,534,,,133,Least Engaged
5539886821,5553449396,Karen,Chrisman,145,60,F,Married,Empty Nester,525,,,134,Enthusiasts
5535588602,5549021658,Ronald,Teel,313,64,M,Married,Empty Nester,432,,,135,Enthusiasts
5530294488,5543949429,Larry,Henagan,515,18,M,Unmarried,Young Singles,112,,,141,Least Engaged
5531201119,5544817050,Jody,Every,532,50,F,Married,Mature,233,,,142,Least Engaged
5532136841,5545710035,Genna,Brown,235,39,F,Married,Mom & Baby,445,,,143,Least Engaged
5539350961,5552695711,Phyllis,Yff,532,18,F,Married,Young Couple,143,,,144,Enthusiasts
5536227464,5549644651,Ken,Matthias,513,21,M,Unmarried,Young Singles,123,,,145,Convenience Shoppers
5537513109,5550903684,Natividad,Gutierrez,154,24,F,Unmarried,Young Singles,144,,,151,Least Engaged
5538481740,5551847398,Jessica,Gutierrez-Rodriguez,131,34,F,Unmarried,Young Singles,534,,,152,Enthusiasts
5534114495,5547600063,Camela,Sandmann,455,39,F,Married,Mom & Baby,315,,,153,Enthusiasts
5533030612,5546567539,Danielle,Breitbart,252,26,F,Married,Mom & Baby,532,,,154,Enthusiasts
5528789270,5542513474,Rhona,Reamer,352,18,F,Unmarried,Young Singles,214,,,155,Convenience Shoppers
5532215380,5545783401,David,Wilcox,212,22,M,Married,Young Couple,352,,,211,Least Engaged
5539547922,5553137604,Mary,Miller,213,23,F,Married,Mom & Baby,242,,,212,Least Engaged
5533002485,5546541190,Christina,Thielst,433,51,F,Married,Mature,315,,,213,Least Engaged
5532150576,5545722823,Douglas,Wagner,255,35,F,Married,Mom & Baby,332,,,214,Enthusiasts
5534940761,5548391674,Mary,Torra,355,24,F,Unmarried,Young Singles,321,,,215,Enthusiasts
5528166645,5541920947,Sharon,Phibbs,124,45,F,Married,Mature,311,,,221,Least Engaged
5527384895,5541178391,Ronald,Herring,223,52,M,Married,Mature,121,,,222,Least Engaged
5532116762,5545691175,Amanda,Leu,244,30,F,Married,Mom & Baby,343,,,223,Least Engaged
5533146184,5546676020,Donna,MacPhee,535,34,F,Unmarried,Young Singles,322,,,224,Enthusiasts
5528108084,5541866104,Richard,Petrus,214,30,M,Married,Young Couple,243,,,225,Enthusiasts
5539093606,5552442729,Rebates,Teves,342,60,M,Married,Empty Nester,352,,,231,Least Engaged
5539558121,5553146879,Rebecca,Griffith,225,31,F,Married,Young Couple,125,,,232,Least Engaged
